id,title,description,salary_min,salary_max,salary_is_predicted,company,location_display,category_label,category_tag,contract_type,contract_time,created,search_term,salary_mid,salary_class
5462548223,Data Engineer,This isn’t your regular job. Almedia is a place where those who want to push harder can accelerate their careers faster than anywhere else. We’re aiming to become Germany’s second bootstrapped unicorn. Almedia is already Europe’s 3 fastest-growing company in 2025 (FT1000). We are building the future of marketing by rewarding our community of over 70 million users for engaging with our advertisers’ products. We are offering a new way to acquire users for the biggest companies in the world. Data …,80000.0,190000.0,0,Almedia,"Berlin, Deutschland",Unknown,unknown,,full_time,2025-10-24T14:58:58Z,data engineer,135000.0,hoch
5603821568,Data Engineer,"If you’re a passionate problem-solver who loves diving into complex data sets, possesses broad programming savvy and excels at building reliable data pipelines, you’ll love being a data engineer at InterWorks. As part of our Data team, you’ll empower our customers to make well-informed, data-driven decisions. Together, we’ll combine expert application of new software and technologies with a unique perspective on bridging the traditional Business-IT divide. Technical stuff aside, you’ll be part …",60000.0,100000.0,0,InterWorks,"Berlin, Deutschland",IT-Stellen,it-jobs,,,2026-01-28T20:27:51Z,data engineer,80000.0,hoch
5030055605,Data Engineer (gn),"Einleitung Für meinen Stammkunden suche ich einen Data Engineer (gn) . Das international aufgestellte Hamburger Unternehmen beschäftigt insgesamt rund 2000 Mitarbeitende, davon ca. 60 innerhalb der IT. Deine Aufgaben Aufbau und Wartung effizienter und skalierbarer Datenpipelines zur Erfassung, Verarbeitung und Speicherung von Daten aus verschiedenen Quellen. Sicherstellung der Datenqualität, -integrität und -verfügbarkeit . Gestaltung und Implementierung von Datenbankschemata und -strukturen , …",70000.0,90000.0,0,workidentity GmbH,"Hammerbrook, Hamburg",Unknown,unknown,,full_time,2025-01-30T19:03:30Z,data engineer,80000.0,hoch
5456840271,Cloud & Data Engineer (gn),"Einleitung Wenn dich moderne Cloud-Architekturen, datengetriebene Plattformen und Automatisierung begeistern, dann bist du die richtige Person. Für ein innovatives und zukunftsorientiertes Energieunternehmen suchen wir einen Cloud & Data Engineer (gn) , der mit technischem Know-how und Leidenschaft die digitale Infrastruktur weiterentwickelt und einen nachhaltigen Beitrag zur technologischen Transformation leistet. Deine Aufgaben Cloud-Infrastruktur & IaaS Weiterentwicklung einer sicheren, skal…",60000.0,80000.0,0,workidentity GmbH,"Hammerbrook, Hamburg",Unknown,unknown,,full_time,2025-10-21T04:14:11Z,data engineer,70000.0,hoch
5461866033,Cloud & Data Engineer (gn),"Einleitung Moderne Cloud-Architekturen, Automatisierung und innovative Technologien sind deine Leidenschaft? Für ein zukunftsorientiertes Energieunternehmen suchen wir dich als Cloud Engineer (gn) , der die digitale Infrastruktur weiterentwickelt und nachhaltigen Impact für die technologische Transformation erzielt. Deine Aufgaben Deine Aufgaben: Ausbau und Betrieb einer sicheren, skalierbaren Azure Landing Zone nach Best Practices Verwaltung von Netzwerken, Compute- und Storage-Ressourcen sowi…",70000.0,80000.0,0,workidentity GmbH,"Hammerbrook, Hamburg",Unknown,unknown,,full_time,2025-10-24T04:18:15Z,data engineer,75000.0,hoch
5645462640,Data Engineer (m/w/d),"Wir sind der Verband der Vereine Creditreform, der High-Tech-Service-Dienstleister für unsere 128 Standorte in Deutschland. Über 145 Jahre Wissen & Erfahrung fließen in unsere innovativen Software-Lösungen mit ein. Wir sorgen mit neuesten Technologien für ein bestmögliches Kundenerlebnis im Bereich Wirtschaftsinformation, Forderungsmanagement und Marketingdaten. Zur Verstärkung unseres Teams suchen wir ab sofort Data Engineer (w/m/d) Das Team Mit der Data & AI Factory bauen wir die zentrale, un…",50000.0,75000.0,0,Verband der Vereine Creditreform e.V.,"Barbaraviertel, Neuss","Stellen aus PR, Werbung & Marketing",pr-advertising-marketing-jobs,,full_time,2026-02-25T22:10:06Z,data engineer,62500.0,mittel
5691043334,Data Engineer Datawarehouse (all genders),"Salary: 50.000 - 70.000 € per year Requirements: Erfolgreich abgeschlossenes Studium der Informatik, Wirtschaftsinformatik oder einer vergleichbaren Fachrichtung Kenntnisse in Datenmodellierungstechniken sowie im Umgang mit ETL-Werkzeugen Erste Berufserfahrung im Umfeld Data Warehouse, BI oder Datenintegration Sehr gute Deutschkenntnisse in Wort und Schrift (mindestens C1) Responsibilities: Mitgestaltung der Architektur, Datenmodelle und Prozesse unseres Enterprise Datawarehouses auf ORACLE Unt…",50000.0,70000.0,0,CEWE Stiftung & Co. KGaA,"Kreyenbrück, Oldenburg",IT-Stellen,it-jobs,,full_time,2026-04-06T06:04:40Z,data engineer,60000.0,mittel
5403568457,Data Engineer (m/w/d),"Zweck und Ziel der Stelle Die apero GmbH steht als gesellschaftergeführtes Unternehmen für Kompetenz und Zuverlässigkeit im Bereich der Arbeitnehmerüberlassung und Personalvermittlung. Unser Ziel ist es, Menschen zusammen zu bringen, die zueinander passen, um gemeinsam Aufgaben zu lösen. Für unseren namhaften Kunden in Bad Buchau suchen wir ab sofort, im Rahmen der Arbeitnehmerüberlassung, einen Data Engineer (m/w/d). Aufgaben, Kompetenzen und Verantwortung Verarbeitung und Ablage hochfrequente…",60000.0,64800.0,0,apero,"Bad Buchau, Biberach (Kreis)",Unknown,unknown,,full_time,2025-09-17T23:14:24Z,data engineer,62400.0,mittel
5691040806,Data Engineers (w/m/d),"Salary: 50.000 - 60.000 € per year Requirements: Dir macht es Spaß interdisziplinär im Business und IT Bereichen tätig zu sein Du liebst Herausforderungen und entwickelst daraus intelligente Lösungen Du hast eine „hands on“ Mentalität, bist ein Team-Player der sehr gerne Wissen teilt und sich immer wieder neues Wissen aneignet Du hast mindestens 3 Jahre Erfahrung im Bereich Data Engineering mittels SQL, Spark, Data Lakes,  Du hast fundierte Kenntnisse im Bereich Cloud Plattformen (vorzugsweise …",50000.0,60000.0,0,drjve AG,"Altstadt-Nord, Köln",IT-Stellen,it-jobs,,full_time,2026-04-06T06:04:06Z,data engineer,55000.0,mittel
5670108295,Data Engineer Azure (m/w/d),"Aktuell bin ich für meinen Kunden auf der Suche nach einem Data Engineer für Azure (m/w/d) Aufgabenschwerpunkte technische Beratung und Umsetzung mit Fokus auf MS Azure Umgebungen Ansprechperson für IT-Prozesse und -Architektur, Beratung und Unterstützung der crossfunktionalen Teams bei der Realisierung ihrer Digitalisierungsprojekte Erarbeiten von Lösungen im Team, um die gewünschten Funktionen in die bestehende Prozesslandschaft einzufügen Übernahme und Umsetzung von einzelnen, komplexen und …",4160.0,4160.0,0,SThree Germany,"Karlsruhe (Kreis), Baden-Württemberg",IT-Stellen,it-jobs,contract,full_time,2026-03-18T00:30:00Z,data engineer,4160.0,niedrig
